search_terms,additional_data,merchant_name
"[""truly""]","{""latitude"": ""40.4519233"", ""store_id"": ""b86781d7-fc20-5cec-8594-a45bbc284437"", ""longitude"": ""-79.9514904""}",Uber Eats - CVS (4610 Centre Avenue)
"[""truly""]","{""latitude"": ""40.436723"", ""store_id"": ""04a3262d-bc4d-4ac5-b3ae-c61b61b3d78c"", ""longitude"": ""-79.9547695""}",Uber Eats - Taco del Campus
"[""truly""]","{""latitude"": ""37.78927"", ""store_id"": ""7402ef8f-de1f-51b4-b6e9-e54fb960fc4a"", ""longitude"": ""-90.42799""}",Uber Eats - Culver's (525 W. Karsch Blvd.)
"[""truly""]","{""latitude"": ""40.3951035"", ""store_id"": ""a451d3a5-d09b-45c0-941b-71c49de94556"", ""longitude"": ""-80.0220397""}",Uber Eats - Vinny's Pizza
"[""truly""]","{""latitude"": ""40.4370778"", ""store_id"": ""586f1627-470d-4506-89d5-c48315cc64e1"", ""longitude"": ""-80.0004569""}",Uber Eats - Pizza Fiesta (Downtown)
"[""truly""]","{""latitude"": ""40.4375105"", ""store_id"": ""31f19773-9673-4238-b569-2482272ca53b"", ""longitude"": ""-80.0005075""}",Uber Eats - Papa Allen's Pizza (Pittsburgh)
"[""truly""]","{""latitude"": ""37.79254"", ""store_id"": ""7ffc153c-4b93-52f6-bede-e40d72b72682"", ""longitude"": ""-90.44095""}",Uber Eats - AMC Theatre Farmington 4
"[""truly""]","{""latitude"": ""37.7799759"", ""store_id"": ""0079b31c-17fb-4e85-b9d0-4be6f0c089c4"", ""longitude"": ""-90.4199443""}",Uber Eats - BOGO Sandwiches
"[""truly""]","{""latitude"": ""40.4667376"", ""store_id"": ""bd91e473-489c-57f8-aed5-2b7c98b18715"", ""longitude"": ""-79.9642165""}",Uber Eats - Round Corner Cantina
"[""truly""]","{""latitude"": ""37.78734"", ""store_id"": ""d14ba4b6-81b8-5669-bfcd-bf5b629f3b23"", ""longitude"": ""-90.41926""}",Uber Eats - CVS (101 E. Karsch Blvd)
"[""truly""]","{""latitude"": ""40.356024"", ""store_id"": ""41083e7a-3877-4960-a165-528e3b833b8a"", ""longitude"": ""-79.770275""}",Uber Eats - Big Shot Bob's House of Wings - North Huntingdon
"[""truly""]","{""latitude"": ""37.792"", ""store_id"": ""a7ab3396-c44b-5497-ad30-7fc392cf80ba"", ""longitude"": ""-90.43726""}",Uber Eats - Long John Silver's (788 Maple Valley Drive)
"[""truly""]","{""latitude"": ""37.78683"", ""store_id"": ""94af45ad-44d9-50d1-93e6-f35dc0c14029"", ""longitude"": ""-90.43932""}",Uber Eats - Buffalo Wild Wings (615 Maple Valley Drive)
"[""truly""]","{""latitude"": ""37.7898"", ""store_id"": ""2c9d3fe0-9ab4-4edc-892d-a34775e8710a"", ""longitude"": ""-90.43184""}",Uber Eats - White Castle (680 W. Karsch Blvd.)
"[""truly""]","{""latitude"": ""37.7891633"", ""store_id"": ""7a2349e6-e6ef-4257-94d2-b41ae118b7b0"", ""longitude"": ""-90.4274301""}",Uber Eats - Burger King (521 W. Karsch Blvd)
"[""truly""]","{""latitude"": ""37.79085"", ""store_id"": ""46d43785-6e01-55c9-8586-49058a7672dd"", ""longitude"": ""-90.4294""}",Uber Eats - Lowe's (625 West Karsch Boulevard)
"[""truly""]","{""latitude"": ""37.84644"", ""store_id"": ""8ffe7767-6317-4933-9115-c69703b1b004"", ""longitude"": ""-90.51358""}",Uber Eats - Casey's (10 Flat River Dr)
"[""truly""]","{""latitude"": ""40.440215"", ""store_id"": ""3ef07adc-96af-4885-b956-7333a746a70b"", ""longitude"": ""-80.0024034""}",Uber Eats - Subway (3 Market Square)
"[""truly""]","{""latitude"": ""36.67245"", ""store_id"": ""a88b13ef-0dc0-5218-8b97-c4733d923e6b"", ""longitude"": ""-76.94527""}",Uber Eats - Lowe's (1240 Armory Drive)
"[""truly""]","{""latitude"": ""37.78955"", ""store_id"": ""c934b2ef-9564-54c9-a96f-5aa1ec410d9d"", ""longitude"": ""-90.42914""}",Uber Eats - Arby's (559 W Karsch)
"[""truly""]","{""latitude"": ""35.2786"", ""store_id"": ""46e11f2e-6b60-510c-bd38-56c4366a539d"", ""longitude"": ""-120.65884""}",Uber Eats - Beverage House Liquor #14
"[""truly""]","{""latitude"": ""37.838832"", ""store_id"": ""aea93084-903a-4815-9a0e-65049432e298"", ""longitude"": ""-90.487878""}",Uber Eats - Hardee's (100 Plaza Square)
"[""truly""]","{""latitude"": ""34.16579"", ""store_id"": ""d400dc05-18e3-5691-aa03-0260af1b66ed"", ""longitude"": ""-81.35836""}",Uber Eats - Lowes Foods (1419 Chapin Road)
"[""truly""]","{""latitude"": ""35.31158"", ""store_id"": ""cb39fc3d-2111-5d4c-a178-c8010f67e300"", ""longitude"": ""-120.82971""}",Uber Eats - Grocery Outlet (Los Osos)
"[""truly""]","{""latitude"": ""40.4381176"", ""store_id"": ""1a34e500-0d73-5561-be08-34bb18206028"", ""longitude"": ""-79.9540458""}",Uber Eats - PileZ
"[""truly""]","{""latitude"": ""35.27807"", ""store_id"": ""26fbecd7-79f6-5ca1-94bb-3378457d59f4"", ""longitude"": ""-120.66616""}",Uber Eats - Sandy’s Deli & Liquor
"[""truly""]","{""latitude"": ""40.436604"", ""store_id"": ""ee279be0-2a2a-4ad4-a224-35e60a8aa621"", ""longitude"": ""-79.954623""}",Uber Eats - Dijlah Restaurant
"[""truly""]","{""latitude"": ""36.670709"", ""store_id"": ""c11604b9-787b-500a-865a-ac28d9e571ff"", ""longitude"": ""-76.945863""}",Uber Eats - KFC (1290 Armory Drive)
"[""truly""]","{""latitude"": ""40.4149798"", ""store_id"": ""f7e068fc-bbe3-4077-a0a3-f9c77fe6edb8"", ""longitude"": ""-79.9235117""}",Uber Eats - IHOP (Browns Hill Rd)
"[""truly""]","{""latitude"": ""40.4284917"", ""store_id"": ""dec152c6-bf03-41ce-9a3b-047579ba00f4"", ""longitude"": ""-79.9768275""}",Uber Eats - Lins Asian Fusion
"[""truly""]","{""latitude"": ""40.4503709"", ""store_id"": ""54b6864f-3967-4ca7-9cf2-d197cb11801d"", ""longitude"": ""-79.9509573""}",Uber Eats - Little Nipper's Pizza II
"[""truly""]","{""latitude"": ""40.4365633"", ""store_id"": ""2fd3ea10-f0df-49fd-be0c-4eeac230ec57"", ""longitude"": ""-79.9544066""}",Uber Eats - Ocha Thai Noodle
"[""truly""]","{""latitude"": ""40.4426075"", ""store_id"": ""2eaf2c11-82dd-4e44-a80a-9e6c60950c2f"", ""longitude"": ""-79.9987036""}",Uber Eats - Arby's (808 Liberty Ave.)
"[""truly""]","{""latitude"": ""40.4511312"", ""store_id"": ""8e855a59-0c06-4362-9082-faa7b28096fb"", ""longitude"": ""-80.000508""}",Uber Eats - 7-Eleven (310 Cedar Avenue)
"[""truly""]","{""latitude"": ""37.78875"", ""store_id"": ""8552139f-0ff0-5baf-8eda-c2fd67d06691"", ""longitude"": ""-90.43349""}",Uber Eats - Sugarfire (Farmington)
"[""truly""]","{""latitude"": ""40.52051"", ""store_id"": ""e562c690-d5a4-5f15-9ed1-0f8a9a17539e"", ""longitude"": ""-80.03326""}",Uber Eats - Florence Pizza and Pasta
"[""truly""]","{""latitude"": ""40.42892"", ""store_id"": ""ba729a6d-92f5-57e0-b6b1-3324cc69b058"", ""longitude"": ""-79.9884""}",Uber Eats - Domino's (1001 E Carson St)
"[""truly""]","{""latitude"": ""40.4418859"", ""store_id"": ""97bc7fee-81cd-5f7d-b4b3-fd179ffd8b0f"", ""longitude"": ""-80.0024223""}",Uber Eats - Mad Chicken Pittsburgh (Liberty Ave)
"[""truly""]","{""latitude"": ""40.4300879"", ""store_id"": ""3cd22fbb-db48-4543-bd43-d14a148fbfa1"", ""longitude"": ""-79.9772932""}",Uber Eats - Popeyes (2010 Wharton St)
"[""truly""]","{""latitude"": ""40.4382449"", ""store_id"": ""8da50394-5010-4e06-b07a-f9332a186f32"", ""longitude"": ""-79.9983964""}",Uber Eats - Starbucks (One Oxford Centre)
"[""truly""]","{""latitude"": ""40.3480554"", ""store_id"": ""19584fce-5e2c-4a06-8e16-768c6fca3ca0"", ""longitude"": ""-79.944504""}",Uber Eats - The Burger Den (2200 Lebanon Church Road)
"[""truly""]","{""latitude"": ""40.4625768"", ""store_id"": ""30214530-4795-533b-93c6-116f72a3ef38"", ""longitude"": ""-79.9568493""}",Uber Eats - El Pariente Taco Shop
"[""truly""]","{""latitude"": ""40.47258"", ""store_id"": ""ac2b29da-7740-5185-9bd4-87323938a7d3"", ""longitude"": ""-80.0605283""}",Uber Eats - Speedy Cafe
"[""truly""]","{""latitude"": ""37.78722"", ""store_id"": ""691eb61d-4e20-5747-8c30-aa5e55943f32"", ""longitude"": ""-90.41739""}",Uber Eats - Twins BBQ and Grill
"[""truly""]","{""latitude"": ""40.4690068"", ""store_id"": ""5a4ac5d3-2351-5a26-a0ea-5821d8a6a14e"", ""longitude"": ""-79.9617554""}",Uber Eats - Oasis Pizza
"[""truly""]","{""latitude"": ""40.4289214"", ""store_id"": ""eeeb30da-ee78-59ea-8953-870879eb6b9c"", ""longitude"": ""-79.981837""}",Uber Eats - Pittsburgh Poke
"[""truly""]","{""latitude"": ""37.78851"", ""store_id"": ""81efb378-60f2-4bbe-897d-05cfbd0e1c99"", ""longitude"": ""-90.42967""}",Uber Eats - Taco Bell (560 W Karsch Blvd)
"[""truly""]","{""latitude"": ""40.4508958"", ""store_id"": ""438fbe8f-cee4-40c9-b9b7-067cd86f1513"", ""longitude"": ""-80.0189159""}",Uber Eats - McDonald's® (Northside)
"[""truly""]","{""latitude"": ""40.4288687"", ""store_id"": ""bbc69429-1f88-4031-9aa9-25795a0d2c5e"", ""longitude"": ""-79.9832798""}",Uber Eats - La Bodega
"[""truly""]","{""latitude"": ""40.462235"", ""store_id"": ""86e3e3b8-5b8f-4011-8035-8de39467b688"", ""longitude"": ""-79.927208""}",Uber Eats - Wingstop (5836 Penn Avenue)
"[""truly""]","{""latitude"": ""37.78896"", ""store_id"": ""9b1896c0-bb8d-5763-a67e-52357782dc64"", ""longitude"": ""-90.44014""}",Uber Eats - Jimmy John's (1251 Maple St)
"[""truly""]","{""latitude"": ""40.4282233"", ""store_id"": ""e5e22412-b1a5-4086-90bc-c8b37b2c310b"", ""longitude"": ""-79.975144""}",Uber Eats - Dancing Crab Thai Noodle House
